emoji,meaning,weight
😄,A_smiley1,9
😃,A_smiley2,9
😀,A_smiley3,9
😊,A_smiley4,9
☺️,A_blush,9
😉,A_wink,9
😍,A_loveeyes,9
😘,A_kiss1,9
😚,A_kiss2,9
😗,A_kiss3,9
😙,A_kiss4,9
😜,A_tongue1,9
😝,A_tongue2,9
😛,A_tongue3,9
😳,A_embarassed,9
😁,A_cheese,0
😔,A_sad1,-9
😌,A_sad2,-9
😒,A_sad3,-9
😞,A_sad4,-9
😣,A_sad5,-9
😢,A_sad6,-9
😂,A_sad7,-9
😭,A_sad8,-9
😪,A_sad9,-9
😥,A_sad10,-9
😰,A_sad11,-9
😅,A_sad12,-9
😓,A_sad13,-9
😩,A_sad14,-9
😫,A_sad15,-9
😨,A_worry1,-9
😱,A_worry2,-9
� ,A_angry1,-9
😡,A_angry2,-9
😤,A_angry3,-9
😖,A_wince,0
😆,A_laugh,9
😋,A_licklips,9
😷,A_respirator,0
😎,A_sunglasses,9
😴,A_Zzz,0
😵,A_dead1,-9
😲,A_dead2,-9
😟,A_worry1,-9
😦,A_worry2,-9
😧,A_worry3,-9
😈,A_devil1,-9
👿,A_devil2,-9
😮,A_oh,0
😬,A_cheese2,0
😐,A_straight,0
😕,A_worry4,-9
😯,A_oh2,0
😶,A_nomouth,0
😇,A_angel,0
😏,A_smirk,0
😑,A_straight2,0
👲,B_gua,0
👲🏻,B_gua1,0
👲🏼,B_gua2,0
👲🏽,B_gua3,0
👲🏾,B_gua4,0
👲🏿,B_gua5,0
👳,B_turbin,0
👳🏻,B_turbin1,0
👳🏼,B_turbin2,0
👳🏽,B_turbin3,0
👳🏾,B_turbin4,0
👳🏿,B_turbin5,0
👮,B_police,0
👮🏻,B_police1,0
👮🏼,B_police2,0
👮🏽,B_police3,0
👮🏾,B_police4,0
👮🏿,B_police5,0
👷,B_safety,0
👷🏻,B_safety1,0
👷🏼,B_safety2,0
👷🏽,B_safety3,0
👷🏾,B_safety4,0
👷🏿,B_safety5,0
💂,B_russian,0
💂🏻,B_russian1,0
💂🏼,B_russian2,0
💂🏽,B_russian3,0
💂🏾,B_russian4,0
💂🏿,B_russian5,0
👶,B_baby,0
👶🏻,B_baby1,0
👶🏼,B_baby2,0
👶🏽,B_baby3,0
👶🏾,B_baby4,0
👶🏿,B_baby5,0
👦,B_boy,0
👦🏻,B_boy1,0
👦🏼,B_boy2,0
👦🏽,B_boy3,0
👦🏾,B_boy4,0
👦🏿,B_boy5,0
👧,B_girl,0
👧🏻,B_girl1,0
👧🏼,B_girl2,0
👧🏽,B_girl3,0
👧🏾,B_girl4,0
👧🏿,B_girl5,0
👨,B_man,0
👨🏻,B_man1,0
👨🏼,B_man2,0
👨🏽,B_man3,0
👨🏾,B_man4,0
👨🏿,B_man5,0
👩,B_woman,0
👩🏻,B_woman1,0
👩🏼,B_woman2,0
👩🏽,B_woman3,0
👩🏾,B_woman4,0
👩🏿,B_woman5,0
👴,B_grandpa,0
👴🏻,B_grandpa1,0
👴🏼,B_grandpa2,0
👴🏽,B_grandpa3,0
👴🏾,B_grandpa4,0
👴🏿,B_grandpa5,0
👵,B_grandma,0
👵🏻,B_grandma1,0
👵🏼,B_grandma2,0
👵🏽,B_grandma3,0
👵🏾,B_grandma4,0
👵🏿,B_grandma5,0
👱,B_blonde,0
👱🏻,B_blonde1,0
👱🏼,B_blonde2,0
👱🏽,B_blonde3,0
👱🏾,B_blonde4,0
👱🏿,B_blonde5,0
👼,B_angel,0
👼🏻,B_angel1,0
👼🏼,B_angel2,0
👼🏽,B_angel3,0
👼🏾,B_angel4,0
👼🏿,B_angel5,0
👸,B_princess,0
👸🏻,B_princess1,0
👸🏼,B_princess2,0
👸🏽,B_princess3,0
👸🏾,B_princess4,0
👸🏿,B_princess5,0
😺,C_smile1,9
😸,C_smile2,9
😻,C_hearteyes,9
😽,C_kiss,9
😼,C_angry,-9
🙀,C_shocked,0
😿,C_sad1,-9
😹,C_sad2,-9
😾,C_side1,0
👹,C_redmask,0
👺,C_redmask2,0
🙈,C_seeno,0
🙉,C_hearno,0
🙊,C_speakno,0
💀,C_skull,-9
👽,C_alien,0
💩,D_poop,-9
🔥,D_fire,0
✨,D_stars1,0
🌟,D_stars2,0
💫,D_stars3,0
💥,D_firework,0
💢,D_flare,0
💦,D_water1,0
💧,D_water2,0
💤,D_Zzz,0
💨,D_wind,0
👂,D_ear,0
👂🏻,D_ear1,0
👂🏼,D_ear2,0
👂🏽,D_ear3,0
👂🏾,D_ear4,0
👂🏿,D_ear5,0
👀,D_eyes,0
👃,D_nose,0
👃🏻,D_nose1,0
👃🏼,D_nose2,0
👃🏽,D_nose3,0
👃🏾,D_nose4,0
👃🏿,D_nose5,0
👅,D_tongue,0
👄,D_lips,9
👍,D_thumbsup,9
👍🏻,D_thumbsup1,9
👍🏼,D_thumbsup2,9
👍🏽,D_thumbsup3,9
👍🏾,D_thumbsup4,9
👍🏿,D_thumbsup5,9
👎,D_thumbsdown,-9
👎🏻,D_thumbsdown1,-9
👎🏼,D_thumbsdown2,-9
👎🏽,D_thumbsdown3,-9
👎🏾,D_thumbsdown4,-9
👎🏿,D_thumbsdown5,-9
👌,D_ok,0
👌🏻,D_ok1,0
👌🏼,D_ok2,0
👌🏽,D_ok3,0
👌🏾,D_ok4,0
👌🏿,D_ok5,0
👊,D_pound,0
👊🏻,D_pound1,0
👊🏼,D_pound2,0
👊🏽,D_pound3,0
👊🏾,D_pound4,0
👊🏿,D_pound5,0
✊,D_power,0
✊🏻,D_power1,0
✊🏼,D_power2,0
✊🏽,D_power3,0
✊🏾,D_power4,0
✊🏿,D_power5,0
✌️,D_victory,9
✌🏻,D_victory1,9
✌🏼,D_victory2,9
✌🏽,D_victory3,9
✌🏾,D_victory4,9
✌🏿,D_victory5,9
👋,D_wave,0
👋🏻,D_wave1,0
👋🏼,D_wave2,0
👋🏽,D_wave3,0
👋🏾,D_wave4,0
👋🏿,D_wave5,0
✋,D_raise,0
✋🏻,D_raise1,0
✋🏼,D_raise2,0
✋🏽,D_raise3,0
✋🏾,D_raise4,0
✋🏿,D_raise5,0
👐,D_W,0
👐🏻,D_W1,0
👐🏼,D_W2,0
👐🏽,D_W3,0
👐🏾,D_W4,0
👐🏿,D_W5,0
👆,D_pointup,0
👆🏻,D_pointup1,0
👆🏼,D_pointup2,0
👆🏽,D_pointup3,0
👆🏾,D_pointup4,0
👆🏿,D_pointup5,0
👇,D_pointdown,0
👇🏻,D_pointdown1,0
👇🏼,D_pointdown2,0
👇🏽,D_pointdown3,0
👇🏾,D_pointdown4,0
👇🏿,D_pointdown5,0
👉,D_pointright,0
👉🏻,D_pointright1,0
👉🏼,D_pointright2,0
👉🏽,D_pointright3,0
👉🏾,D_pointright4,0
👉🏿,D_pointright5,0
👈,D_pointleft,0
👈🏻,D_pointleft1,0
👈🏼,D_pointleft2,0
👈🏽,D_pointleft3,0
👈🏾,D_pointleft4,0
👈🏿,D_pointleft5,0
🙌,D_td,0
🙌🏻,D_td1,0
🙌🏼,D_td2,0
🙌🏽,D_td3,0
🙌🏾,D_td4,0
🙌🏿,D_td5,0
🙏,D_prayer,0
🙏🏻,D_prayer1,0
🙏🏼,D_prayer2,0
🙏🏽,D_prayer3,0
🙏🏾,D_prayer4,0
🙏🏿,D_prayer5,0
☝️,D_number,0
☝🏻,D_number1,0
☝🏼,D_number2,0
☝🏽,D_number3,0
☝🏾,D_number4,0
☝🏿,D_number5,0
👏,D_clap,0
👏🏻,D_clap1,0
👏🏼,D_clap2,0
👏🏽,D_clap3,0
👏🏾,D_clap4,0
👏🏿,D_clap5,0
💪,D_bicep,0
💪🏻,D_bicep1,0
💪🏼,D_bicep2,0
💪🏽,D_bicep3,0
💪🏾,D_bicep4,0
💪🏿,D_bicep5,0
🚶,E_walk,0
🚶🏻,E_walk1,0
🚶🏼,E_walk2,0
🚶🏽,E_walk3,0
🚶🏾,E_walk4,0
🚶🏿,E_walk5,0
🏃,E_run,0
🏃🏻,E_run1,0
🏃🏼,E_run2,0
🏃🏽,E_run3,0
🏃🏾,E_run4,0
🏃🏿,E_run5,0
💃,E_salsa,0
💃🏻,E_salsa1,0
💃🏼,E_salsa2,0
💃🏽,E_salsa3,0
💃🏾,E_salsa4,0
💃🏿,E_salsa5,0
👫,E_couple,0
👪,E_family,0
👨‍👩‍👧,E_family1,0
👨‍👩‍👧‍👦,E_family2,0
👨‍👩‍👦‍👦,E_family3,0
👨‍👩‍👧‍👧,E_family4,0
👩‍👩‍👦,E_family5,0
👩‍👩‍👧,E_family6,0
👩‍👩‍👧‍👦,E_family7,0
👩‍👩‍👦‍👦,E_family8,0
👩‍👩‍👧‍👧,E_family9,0
👨‍👨‍👦,E_family10,0
👨‍👨‍👧,E_family11,0
👨‍👨‍👧‍👦,E_family12,0
👨‍👨‍👦‍👦,E_family13,0
👨‍👨‍👧‍👧,E_family14,0
👬,E_men,0
👭,E_women,0
💏,E_coupleheart,9
💑,E_coupleheart2,9
👯,E_dancers,0
🙆,E_O,0
🙆🏻,E_O1,0
🙆🏼,E_O2,0
🙆🏽,E_O3,0
🙆🏾,E_O4,0
🙆🏿,E_O5,0
🙅,E_X,0
🙅🏻,E_X1,0
🙅🏼,E_X2,0
🙅🏽,E_X3,0
🙅🏾,E_X4,0
🙅🏿,E_X5,0
💁,E_Chrissy,0
💁🏻,E_Chrissy1,0
💁🏼,E_Chrissy2,0
💁🏽,E_Chrissy3,0
💁🏾,E_Chrissy4,0
💁🏿,E_Chrissy5,0
🙋,E_handraise,0
🙋🏻,E_handraise1,0
🙋🏼,E_handraise2,0
🙋🏽,E_handraise3,0
🙋🏾,E_handraise4,0
🙋🏿,E_handraise5,0
💆,E_washhair,0
💆🏻,E_washhair1,0
💆🏼,E_washhair2,0
💆🏽,E_washhair3,0
💆🏾,E_washhair4,0
💆🏿,E_washhair5,0
💇,E_cuthair,0
💇🏻,E_cuthair1,0
💇🏼,E_cuthair2,0
💇🏽,E_cuthair3,0
💇🏾,E_cuthair4,0
💇🏿,E_cuthair5,0
💅,E_nails,0
💅🏻,E_nails1,0
💅🏼,E_nails2,0
💅🏽,E_nails3,0
💅🏾,E_nails4,0
💅🏿,E_nails5,0
👰,E_bride,0
👰🏻,E_bride1,0
👰🏼,E_bride2,0
👰🏽,E_bride3,0
👰🏾,E_bride4,0
👰🏿,E_bride5,0
🙎,E_whistle,0
🙎🏻,E_whistle1,0
🙎🏼,E_whistle2,0
🙎🏽,E_whistle3,0
🙎🏾,E_whistle4,0
🙎🏿,E_whistle5,0
🙍,E_sad,0
🙍🏻,E_sad1,0
🙍🏼,E_sad2,0
🙍🏽,E_sad3,0
🙍🏾,E_sad4,0
🙍🏿,E_sad5,0
🙇,E_headdown,0
🙇🏻,E_headdown1,0
🙇🏼,E_headdown2,0
🙇🏽,E_headdown3,0
🙇🏾,E_headdown4,0
🙇🏿,E_headdown5,0
🎩,F_tophat,0
👑,F_crown,0
👒,F_derbyhat,0
👟,F_whiteshoe,0
👞,F_brownshoe,0
👡,F_slipon,0
� ,F_heel,0
👢,F_boot,0
👕,F_polo,0
👔,F_shirttie,0
👚,F_blouse,0
👗,F_dress,0
🎽,F_workout,0
👖,F_jeans,0
👘,F_asian,0
👙,F_bikini,0
💼,F_brief,0
👜,F_bag1,0
👝,F_bag2,0
👛,F_bag3,0
👓,F_glasses,0
🎀,F_bow,0
🌂,F_umbrella,0
💄,F_lipstick,0
💛,F_yellowheart,9
💙,F_blueheart,9
💜,F_purpleheart,9
💚,F_greenheart,9
❤️,F_redheart,9
💔,F_brokenheart,9
💗,F_growingheart,9
💓,F_ringingheart,9
💕,F_twohearts,9
💖,F_sparkleheart,9
💞,F_revolvingheart,9
💘,F_cupidheart,9
💌,F_letterheart,9
💋,F_lips,9
💍,F_ring,0
💎,F_diamond,0
👤,F_user,0
👥,F_user2,0
💬,F_message,0
👣,F_footprint,0
💭,F_thought,0
🐶,G_dog,0
🐺,G_fox,0
🐱,G_cat,0
🐭,G_mouse1,0
🐹,G_mouse2,0
🐰,G_rabbit,0
🐸,G_frog,0
🐯,G_tiger,0
🐨,G_koala,0
🐻,G_bear,0
🐷,G_pig1,0
🐽,G_pig2,0
🐮,G_cow,0
🐗,G_warthog,0
🐵,G_monkey1,0
🐒,G_monkey2,0
🐴,G_horse,0
🐑,G_sheep,0
🐘,G_elephant,0
🐼,G_panda,0
🐧,G_penguin1,0
🐦,G_penguin2,0
🐤,G_chick1,0
🐥,G_chick2,0
🐣,G_chick2,0
🐔,G_chick2,0
🐍,G_snake,0
🐢,G_turtle,0
🐛,G_caterpillar,0
🐝,G_bee,0
🐜,G_ant,0
🐞,G_ladybug,0
🐌,G_snail,0
🐙,G_octopus,0
🐚,G_shell,0
� ,G_fish1,0
🐟,G_fish2,0
🐬,G_dolphin,0
🐳,G_whale1,0
🐋,H_whale1,0
🐄,H_cow,0
🐏,H_sheep,0
